unweighted_fairness,weighted_fairness,electorate_size,clusters,cluster_std,electoral_system,apathy_prob,candidates,issues,n_approvals_per_voter
0.858,0.739,10000,10,1.5,plurality,0.0,5,2,2
0.745,0.764,10000,10,1.5,majority,0.0,5,2,2
1.049,0.821,10000,10,1.5,approval,0.0,5,2,2
0.746,0.748,10000,10,1.5,plurality,0.0,5,2,2
0.538,0.605,10000,10,1.5,majority,0.0,5,2,2
0.905,0.804,10000,10,1.5,approval,0.0,5,2,2
0.791,0.769,10000,10,1.5,plurality,0.0,5,2,2
0.746,0.749,10000,10,1.5,majority,0.0,5,2,2
0.898,0.732,10000,10,1.5,approval,0.0,5,2,2
0.76,0.737,10000,10,1.5,plurality,0.0,5,2,2
0.817,0.802,10000,10,1.5,majority,0.0,5,2,2
0.996,0.804,10000,10,1.5,approval,0.0,5,2,2
0.884,0.78,10000,10,1.5,plurality,0.0,5,2,2
1.014,0.784,10000,10,1.5,majority,0.0,5,2,2
1.011,0.893,10000,10,1.5,approval,0.0,5,2,2
0.876,0.832,10000,10,1.5,plurality,0.0,5,2,2
0.616,0.699,10000,10,1.5,majority,0.0,5,2,2
0.946,0.795,10000,10,1.5,approval,0.0,5,2,2
0.728,0.744,10000,10,1.5,plurality,0.0,5,2,2
0.612,0.649,10000,10,1.5,majority,0.0,5,2,2
0.994,0.817,10000,10,1.5,approval,0.0,5,2,2
0.963,0.789,10000,10,1.5,plurality,0.0,5,2,2
1.012,0.828,10000,10,1.5,majority,0.0,5,2,2
0.822,0.737,10000,10,1.5,approval,0.0,5,2,2
0.663,0.744,10000,10,1.5,plurality,0.0,5,2,2
0.785,0.735,10000,10,1.5,majority,0.0,5,2,2
0.901,0.821,10000,10,1.5,approval,0.0,5,2,2
0.712,0.782,10000,10,1.5,plurality,0.0,5,2,2
0.793,0.706,10000,10,1.5,majority,0.0,5,2,2
0.804,0.763,10000,10,1.5,approval,0.0,5,2,2
0.882,0.774,10000,10,1.5,plurality,0.0,5,2,2
1.102,0.804,10000,10,1.5,majority,0.0,5,2,2
1.055,0.864,10000,10,1.5,approval,0.0,5,2,2
0.636,0.734,10000,10,1.5,plurality,0.0,5,2,2
1.073,0.867,10000,10,1.5,majority,0.0,5,2,2
0.946,0.77,10000,10,1.5,approval,0.0,5,2,2
0.877,0.755,10000,10,1.5,plurality,0.0,5,2,2
1.088,0.947,10000,10,1.5,majority,0.0,5,2,2
0.806,0.791,10000,10,1.5,approval,0.0,5,2,2
0.821,0.768,10000,10,1.5,plurality,0.0,5,2,2
0.647,0.703,10000,10,1.5,majority,0.0,5,2,2
1.005,0.837,10000,10,1.5,approval,0.0,5,2,2
0.71,0.731,10000,10,1.5,plurality,0.0,5,2,2
0.722,0.679,10000,10,1.5,majority,0.0,5,2,2
0.852,0.866,10000,10,1.5,approval,0.0,5,2,2
0.748,0.749,10000,10,1.5,plurality,0.0,5,2,2
0.789,0.756,10000,10,1.5,majority,0.0,5,2,2
0.967,0.803,10000,10,1.5,approval,0.0,5,2,2
1.073,0.86,10000,10,1.5,plurality,0.0,5,2,2
0.551,0.639,10000,10,1.5,majority,0.0,5,2,2
0.801,0.773,10000,10,1.5,approval,0.0,5,2,2
0.895,0.753,10000,10,1.5,plurality,0.0,5,2,2
0.805,0.828,10000,10,1.5,majority,0.0,5,2,2
0.868,0.79,10000,10,1.5,approval,0.0,5,2,2
1.031,0.886,10000,10,1.5,plurality,0.0,5,2,2
0.783,0.788,10000,10,1.5,majority,0.0,5,2,2
0.829,0.762,10000,10,1.5,approval,0.0,5,2,2
0.793,0.733,10000,10,1.5,plurality,0.0,5,2,2
0.605,0.618,10000,10,1.5,majority,0.0,5,2,2
0.985,0.821,10000,10,1.5,approval,0.0,5,2,2
1.019,0.79,10000,10,1.5,plurality,0.0,5,2,2
0.732,0.785,10000,10,1.5,majority,0.0,5,2,2
0.932,0.764,10000,10,1.5,approval,0.0,5,2,2
0.809,0.798,10000,10,1.5,plurality,0.0,5,2,2
1.124,1.129,10000,10,1.5,majority,0.0,5,2,2
1.018,0.806,10000,10,1.5,approval,0.0,5,2,2
0.63,0.743,10000,10,1.5,plurality,0.0,5,2,2
1.042,0.96,10000,10,1.5,majority,0.0,5,2,2
0.72,0.732,10000,10,1.5,approval,0.0,5,2,2
0.849,0.757,10000,10,1.5,plurality,0.0,5,2,2
0.736,0.736,10000,10,1.5,majority,0.0,5,2,2
0.953,0.754,10000,10,1.5,approval,0.0,5,2,2
0.885,0.786,10000,10,1.5,plurality,0.0,5,2,2
0.752,0.811,10000,10,1.5,majority,0.0,5,2,2
1.058,0.862,10000,10,1.5,approval,0.0,5,2,2
0.96,0.798,10000,10,1.5,plurality,0.0,5,2,2
0.979,0.858,10000,10,1.5,majority,0.0,5,2,2
0.758,0.733,10000,10,1.5,approval,0.0,5,2,2
0.805,0.734,10000,10,1.5,plurality,0.0,5,2,2
1.012,0.894,10000,10,1.5,majority,0.0,5,2,2
0.768,0.769,10000,10,1.5,approval,0.0,5,2,2
0.981,0.764,10000,10,1.5,plurality,0.0,5,2,2
0.591,0.63,10000,10,1.5,majority,0.0,5,2,2
0.901,0.779,10000,10,1.5,approval,0.0,5,2,2
1.04,0.859,10000,10,1.5,plurality,0.0,5,2,2
0.807,0.784,10000,10,1.5,majority,0.0,5,2,2
0.836,0.779,10000,10,1.5,approval,0.0,5,2,2
0.764,0.766,10000,10,1.5,plurality,0.0,5,2,2
0.785,0.769,10000,10,1.5,majority,0.0,5,2,2
0.759,0.756,10000,10,1.5,approval,0.0,5,2,2
1.049,0.801,10000,10,1.5,plurality,0.0,5,2,2
0.88,0.818,10000,10,1.5,majority,0.0,5,2,2
0.804,0.765,10000,10,1.5,approval,0.0,5,2,2
0.734,0.737,10000,10,1.5,plurality,0.0,5,2,2
0.675,0.721,10000,10,1.5,majority,0.0,5,2,2
0.871,0.763,10000,10,1.5,approval,0.0,5,2,2
0.805,0.743,10000,10,1.5,plurality,0.0,5,2,2
0.649,0.683,10000,10,1.5,majority,0.0,5,2,2
0.966,0.823,10000,10,1.5,approval,0.0,5,2,2
0.942,0.841,10000,10,1.5,plurality,0.0,5,2,2
0.725,0.713,10000,10,1.5,majority,0.0,5,2,2
0.898,0.826,10000,10,1.5,approval,0.0,5,2,2
0.726,0.778,10000,10,1.5,plurality,0.0,5,2,2
0.649,0.693,10000,10,1.5,majority,0.0,5,2,2
0.876,0.773,10000,10,1.5,approval,0.0,5,2,2
0.819,0.757,10000,10,1.5,plurality,0.0,5,2,2
0.82,0.776,10000,10,1.5,majority,0.0,5,2,2
0.738,0.743,10000,10,1.5,approval,0.0,5,2,2
0.729,0.792,10000,10,1.5,plurality,0.0,5,2,2
0.633,0.68,10000,10,1.5,majority,0.0,5,2,2
0.887,0.773,10000,10,1.5,approval,0.0,5,2,2
0.639,0.726,10000,10,1.5,plurality,0.0,5,2,2
0.798,0.724,10000,10,1.5,majority,0.0,5,2,2
0.807,0.766,10000,10,1.5,approval,0.0,5,2,2
0.73,0.746,10000,10,1.5,plurality,0.0,5,2,2
0.629,0.694,10000,10,1.5,majority,0.0,5,2,2
0.943,0.789,10000,10,1.5,approval,0.0,5,2,2
0.758,0.778,10000,10,1.5,plurality,0.0,5,2,2
0.596,0.638,10000,10,1.5,majority,0.0,5,2,2
0.815,0.777,10000,10,1.5,approval,0.0,5,2,2
0.902,0.793,10000,10,1.5,plurality,0.0,5,2,2
0.654,0.7,10000,10,1.5,majority,0.0,5,2,2
0.857,0.756,10000,10,1.5,approval,0.0,5,2,2
0.743,0.762,10000,10,1.5,plurality,0.0,5,2,2
0.731,0.764,10000,10,1.5,majority,0.0,5,2,2
