,fairness,electorate_size,electoral_system,issues
0,0.23,10000,majority,2
1,0.215,10000,majority,12
2,0.166,10000,majority,22
3,0.262,10000,majority,2
4,0.158,10000,majority,12
5,0.177,10000,majority,22
6,0.298,10000,majority,2
7,0.153,10000,majority,12
8,0.176,10000,majority,22
9,0.375,10000,majority,2
10,0.207,10000,majority,12
11,0.27,10000,majority,22
12,0.333,10000,majority,2
13,0.174,10000,majority,12
14,0.199,10000,majority,22
15,0.177,10000,majority,2
16,0.215,10000,majority,12
17,0.168,10000,majority,22
18,0.24,10000,majority,2
19,0.192,10000,majority,12
20,0.169,10000,majority,22
21,0.866,10000,majority,2
22,0.163,10000,majority,12
23,0.19,10000,majority,22
24,0.574,10000,majority,2
25,0.302,10000,majority,12
26,0.18,10000,majority,22
27,0.407,10000,plurality,2
28,0.173,10000,plurality,12
29,0.196,10000,plurality,22
30,0.83,10000,plurality,2
31,0.162,10000,plurality,12
32,0.153,10000,plurality,22
33,0.262,10000,plurality,2
34,0.154,10000,plurality,12
35,0.197,10000,plurality,22
36,0.166,10000,plurality,2
37,0.169,10000,plurality,12
38,0.168,10000,plurality,22
39,0.198,10000,plurality,2
40,0.172,10000,plurality,12
41,0.22,10000,plurality,22
42,0.253,10000,plurality,2
43,0.195,10000,plurality,12
44,0.181,10000,plurality,22
45,0.309,10000,plurality,2
46,0.177,10000,plurality,12
47,0.177,10000,plurality,22
48,0.27,10000,plurality,2
49,0.186,10000,plurality,12
50,0.187,10000,plurality,22
51,0.154,10000,plurality,2
52,0.238,10000,plurality,12
53,0.21,10000,plurality,22
54,0.294,10000,majority,2
55,0.248,10000,majority,12
56,0.295,10000,majority,22
57,0.44,10000,majority,2
58,0.275,10000,majority,12
59,0.342,10000,majority,22
60,0.4,10000,majority,2
61,0.316,10000,majority,12
62,0.264,10000,majority,22
63,0.276,10000,majority,2
64,0.29,10000,majority,12
65,0.253,10000,majority,22
66,0.233,10000,majority,2
67,0.23,10000,majority,12
68,0.242,10000,majority,22
69,0.297,10000,majority,2
70,0.26,10000,majority,12
71,0.241,10000,majority,22
72,0.412,10000,majority,2
73,0.266,10000,majority,12
74,0.256,10000,majority,22
75,0.239,10000,majority,2
76,0.25,10000,majority,12
77,0.277,10000,majority,22
78,0.572,10000,majority,2
79,0.244,10000,majority,12
80,0.271,10000,majority,22
81,0.225,10000,plurality,2
82,0.298,10000,plurality,12
83,0.234,10000,plurality,22
84,0.325,10000,plurality,2
85,0.233,10000,plurality,12
86,0.236,10000,plurality,22
87,0.286,10000,plurality,2
88,0.274,10000,plurality,12
89,0.25,10000,plurality,22
90,0.266,10000,plurality,2
91,0.245,10000,plurality,12
92,0.237,10000,plurality,22
93,0.445,10000,plurality,2
94,0.226,10000,plurality,12
95,0.229,10000,plurality,22
96,0.264,10000,plurality,2
97,0.369,10000,plurality,12
98,0.267,10000,plurality,22
99,0.895,10000,plurality,2
100,0.251,10000,plurality,12
101,0.252,10000,plurality,22
102,0.281,10000,plurality,2
103,0.287,10000,plurality,12
104,0.254,10000,plurality,22
105,0.242,10000,plurality,2
106,0.241,10000,plurality,12
107,0.27,10000,plurality,22
108,0.312,10000,majority,2
109,0.298,10000,majority,12
110,0.323,10000,majority,22
111,0.341,10000,majority,2
112,0.3,10000,majority,12
113,0.347,10000,majority,22
114,0.476,10000,majority,2
115,0.357,10000,majority,12
116,0.296,10000,majority,22
117,0.586,10000,majority,2
118,0.359,10000,majority,12
119,0.373,10000,majority,22
120,0.724,10000,majority,2
121,0.307,10000,majority,12
122,0.314,10000,majority,22
123,0.537,10000,majority,2
124,0.358,10000,majority,12
125,0.332,10000,majority,22
126,0.474,10000,majority,2
127,0.504,10000,majority,12
128,0.326,10000,majority,22
129,0.541,10000,majority,2
130,0.305,10000,majority,12
131,0.344,10000,majority,22
132,0.44,10000,majority,2
133,0.318,10000,majority,12
134,0.342,10000,majority,22
135,0.77,10000,plurality,2
136,0.329,10000,plurality,12
137,0.36,10000,plurality,22
138,0.411,10000,plurality,2
139,0.345,10000,plurality,12
140,0.326,10000,plurality,22
141,0.322,10000,plurality,2
142,0.279,10000,plurality,12
143,0.292,10000,plurality,22
144,0.638,10000,plurality,2
145,0.305,10000,plurality,12
146,0.344,10000,plurality,22
147,0.781,10000,plurality,2
148,0.324,10000,plurality,12
149,0.338,10000,plurality,22
150,0.306,10000,plurality,2
151,0.313,10000,plurality,12
152,0.284,10000,plurality,22
153,0.316,10000,plurality,2
154,0.286,10000,plurality,12
155,0.358,10000,plurality,22
156,0.463,10000,plurality,2
157,0.412,10000,plurality,12
158,0.344,10000,plurality,22
159,0.247,10000,plurality,2
160,0.347,10000,plurality,12
161,0.336,10000,plurality,22
162,0.342,10000,majority,2
163,0.425,10000,majority,12
164,0.384,10000,majority,22
165,0.396,10000,majority,2
166,0.39,10000,majority,12
167,0.364,10000,majority,22
168,0.366,10000,majority,2
169,0.434,10000,majority,12
170,0.399,10000,majority,22
171,0.505,10000,majority,2
172,0.434,10000,majority,12
173,0.395,10000,majority,22
174,0.473,10000,majority,2
175,0.389,10000,majority,12
176,0.371,10000,majority,22
177,0.681,10000,majority,2
178,0.319,10000,majority,12
179,0.451,10000,majority,22
180,0.37,10000,majority,2
181,0.415,10000,majority,12
182,0.395,10000,majority,22
183,0.355,10000,majority,2
184,0.437,10000,majority,12
185,0.388,10000,majority,22
186,0.285,10000,majority,2
187,0.374,10000,majority,12
188,0.395,10000,majority,22
189,0.355,10000,plurality,2
190,0.394,10000,plurality,12
191,0.373,10000,plurality,22
192,0.625,10000,plurality,2
193,0.374,10000,plurality,12
194,0.354,10000,plurality,22
195,0.375,10000,plurality,2
196,0.419,10000,plurality,12
197,0.474,10000,plurality,22
198,0.443,10000,plurality,2
199,0.372,10000,plurality,12
200,0.423,10000,plurality,22
201,0.431,10000,plurality,2
202,0.48,10000,plurality,12
203,0.369,10000,plurality,22
204,0.358,10000,plurality,2
205,0.463,10000,plurality,12
206,0.408,10000,plurality,22
207,0.707,10000,plurality,2
208,0.362,10000,plurality,12
209,0.38,10000,plurality,22
210,0.474,10000,plurality,2
211,0.352,10000,plurality,12
212,0.39,10000,plurality,22
213,0.583,10000,plurality,2
214,0.431,10000,plurality,12
215,0.388,10000,plurality,22
216,0.705,10000,majority,2
217,0.512,10000,majority,12
218,0.395,10000,majority,22
219,1.001,10000,majority,2
220,0.536,10000,majority,12
221,0.476,10000,majority,22
222,0.695,10000,majority,2
223,0.489,10000,majority,12
224,0.471,10000,majority,22
225,0.575,10000,majority,2
226,0.378,10000,majority,12
227,0.463,10000,majority,22
228,0.425,10000,majority,2
229,0.413,10000,majority,12
230,0.445,10000,majority,22
231,0.659,10000,majority,2
232,0.568,10000,majority,12
233,0.514,10000,majority,22
234,0.599,10000,majority,2
235,0.495,10000,majority,12
236,0.465,10000,majority,22
237,0.82,10000,majority,2
238,0.504,10000,majority,12
239,0.503,10000,majority,22
240,0.978,10000,majority,2
241,0.517,10000,majority,12
242,0.492,10000,majority,22
243,0.375,10000,plurality,2
244,0.462,10000,plurality,12
245,0.446,10000,plurality,22
246,0.542,10000,plurality,2
247,0.529,10000,plurality,12
248,0.525,10000,plurality,22
249,0.917,10000,plurality,2
250,0.39,10000,plurality,12
251,0.402,10000,plurality,22
252,0.364,10000,plurality,2
253,0.446,10000,plurality,12
254,0.465,10000,plurality,22
255,0.368,10000,plurality,2
256,0.395,10000,plurality,12
257,0.51,10000,plurality,22
258,0.389,10000,plurality,2
259,0.459,10000,plurality,12
260,0.469,10000,plurality,22
261,0.326,10000,plurality,2
262,0.391,10000,plurality,12
263,0.455,10000,plurality,22
264,0.695,10000,plurality,2
265,0.43,10000,plurality,12
266,0.441,10000,plurality,22
267,0.46,10000,plurality,2
268,0.39,10000,plurality,12
269,0.461,10000,plurality,22
270,0.681,10000,majority,2
271,0.512,10000,majority,12
272,0.487,10000,majority,22
273,0.65,10000,majority,2
274,0.614,10000,majority,12
275,0.459,10000,majority,22
276,0.833,10000,majority,2
277,0.595,10000,majority,12
278,0.511,10000,majority,22
279,0.496,10000,majority,2
280,0.595,10000,majority,12
281,0.513,10000,majority,22
282,0.626,10000,majority,2
283,0.57,10000,majority,12
284,0.505,10000,majority,22
285,0.585,10000,majority,2
286,0.611,10000,majority,12
287,0.453,10000,majority,22
288,0.905,10000,majority,2
289,0.585,10000,majority,12
290,0.5,10000,majority,22
291,0.49,10000,majority,2
292,0.536,10000,majority,12
293,0.495,10000,majority,22
294,0.383,10000,majority,2
295,0.546,10000,majority,12
296,0.49,10000,majority,22
297,0.778,10000,plurality,2
298,0.461,10000,plurality,12
299,0.489,10000,plurality,22
300,0.94,10000,plurality,2
301,0.529,10000,plurality,12
302,0.499,10000,plurality,22
303,0.509,10000,plurality,2
304,0.581,10000,plurality,12
305,0.505,10000,plurality,22
306,0.523,10000,plurality,2
307,0.443,10000,plurality,12
308,0.496,10000,plurality,22
309,0.457,10000,plurality,2
310,0.544,10000,plurality,12
311,0.549,10000,plurality,22
312,0.488,10000,plurality,2
313,0.462,10000,plurality,12
314,0.484,10000,plurality,22
315,0.456,10000,plurality,2
316,0.563,10000,plurality,12
317,0.534,10000,plurality,22
318,0.442,10000,plurality,2
319,0.506,10000,plurality,12
320,0.508,10000,plurality,22
321,0.839,10000,plurality,2
322,0.564,10000,plurality,12
323,0.492,10000,plurality,22
324,1.125,10000,majority,2
325,0.561,10000,majority,12
326,0.531,10000,majority,22
327,0.91,10000,majority,2
328,0.593,10000,majority,12
329,0.57,10000,majority,22
330,0.485,10000,majority,2
331,0.612,10000,majority,12
332,0.611,10000,majority,22
333,0.635,10000,majority,2
334,0.531,10000,majority,12
335,0.58,10000,majority,22
336,0.555,10000,majority,2
337,0.576,10000,majority,12
338,0.555,10000,majority,22
339,0.58,10000,majority,2
340,0.641,10000,majority,12
341,0.634,10000,majority,22
342,0.627,10000,majority,2
343,0.557,10000,majority,12
344,0.555,10000,majority,22
345,0.774,10000,majority,2
346,0.625,10000,majority,12
347,0.587,10000,majority,22
348,0.603,10000,majority,2
349,0.598,10000,majority,12
350,0.59,10000,majority,22
351,0.702,10000,plurality,2
352,0.533,10000,plurality,12
353,0.63,10000,plurality,22
354,0.608,10000,plurality,2
355,0.504,10000,plurality,12
356,0.568,10000,plurality,22
357,0.467,10000,plurality,2
358,0.646,10000,plurality,12
359,0.477,10000,plurality,22
360,1.162,10000,plurality,2
361,0.575,10000,plurality,12
362,0.537,10000,plurality,22
363,0.711,10000,plurality,2
364,0.555,10000,plurality,12
365,0.542,10000,plurality,22
366,0.733,10000,plurality,2
367,0.561,10000,plurality,12
368,0.565,10000,plurality,22
369,0.39,10000,plurality,2
370,0.631,10000,plurality,12
371,0.648,10000,plurality,22
372,0.58,10000,plurality,2
373,0.589,10000,plurality,12
374,0.632,10000,plurality,22
375,0.537,10000,plurality,2
376,0.56,10000,plurality,12
377,0.557,10000,plurality,22
378,0.654,10000,majority,2
379,0.604,10000,majority,12
380,0.556,10000,majority,22
381,1.146,10000,majority,2
382,0.655,10000,majority,12
383,0.581,10000,majority,22
384,0.884,10000,majority,2
385,0.75,10000,majority,12
386,0.589,10000,majority,22
387,0.587,10000,majority,2
388,0.647,10000,majority,12
389,0.63,10000,majority,22
390,0.954,10000,majority,2
391,0.646,10000,majority,12
392,0.56,10000,majority,22
