,fairness,electorate_size,clusters,cluster_std,electoral_system,apathy_prob,candidates,issues
0,0.163,10000,1,1,majority,0.0,2,2
1,0.2,10000,1,1,majority,0.0,2,12
2,0.189,10000,1,1,majority,0.0,2,22
3,0.163,10000,1,1,majority,0.0,3,2
4,0.181,10000,1,1,majority,0.0,3,12
5,0.189,10000,1,1,majority,0.0,3,22
6,0.174,10000,1,1,majority,0.0,4,2
7,0.16,10000,1,1,majority,0.0,4,12
8,0.201,10000,1,1,majority,0.0,4,22
9,0.188,10000,1,1,majority,0.0,5,2
10,0.215,10000,1,1,majority,0.0,5,12
11,0.18,10000,1,1,majority,0.0,5,22
12,0.599,10000,1,1,majority,0.0,6,2
13,0.195,10000,1,1,majority,0.0,6,12
14,0.194,10000,1,1,majority,0.0,6,22
15,0.204,10000,1,1,majority,0.0,7,2
16,0.172,10000,1,1,majority,0.0,7,12
17,0.18,10000,1,1,majority,0.0,7,22
18,0.378,10000,1,1,majority,0.0,8,2
19,0.26,10000,1,1,majority,0.0,8,12
20,0.161,10000,1,1,majority,0.0,8,22
21,0.223,10000,1,1,majority,0.0,9,2
22,0.199,10000,1,1,majority,0.0,9,12
23,0.176,10000,1,1,majority,0.0,9,22
24,0.124,10000,1,1,majority,0.0,10,2
25,0.184,10000,1,1,majority,0.0,10,12
26,0.185,10000,1,1,majority,0.0,10,22
27,0.164,10000,1,1,majority,0.01,2,2
28,0.149,10000,1,1,majority,0.01,2,12
29,0.182,10000,1,1,majority,0.01,2,22
30,0.226,10000,1,1,majority,0.01,3,2
31,0.191,10000,1,1,majority,0.01,3,12
32,0.159,10000,1,1,majority,0.01,3,22
33,0.415,10000,1,1,majority,0.01,4,2
34,0.184,10000,1,1,majority,0.01,4,12
35,0.152,10000,1,1,majority,0.01,4,22
36,0.218,10000,1,1,majority,0.01,5,2
37,0.211,10000,1,1,majority,0.01,5,12
38,0.173,10000,1,1,majority,0.01,5,22
39,0.117,10000,1,1,majority,0.01,6,2
40,0.216,10000,1,1,majority,0.01,6,12
41,0.184,10000,1,1,majority,0.01,6,22
42,0.348,10000,1,1,majority,0.01,7,2
43,0.165,10000,1,1,majority,0.01,7,12
44,0.16,10000,1,1,majority,0.01,7,22
45,0.305,10000,1,1,majority,0.01,8,2
46,0.193,10000,1,1,majority,0.01,8,12
47,0.176,10000,1,1,majority,0.01,8,22
48,0.198,10000,1,1,majority,0.01,9,2
49,0.163,10000,1,1,majority,0.01,9,12
50,0.185,10000,1,1,majority,0.01,9,22
51,0.582,10000,1,1,majority,0.01,10,2
52,0.216,10000,1,1,majority,0.01,10,12
53,0.184,10000,1,1,majority,0.01,10,22
54,0.171,10000,1,1,majority,0.05,2,2
55,0.197,10000,1,1,majority,0.05,2,12
56,0.176,10000,1,1,majority,0.05,2,22
57,0.143,10000,1,1,majority,0.05,3,2
58,0.147,10000,1,1,majority,0.05,3,12
59,0.174,10000,1,1,majority,0.05,3,22
60,0.219,10000,1,1,majority,0.05,4,2
61,0.251,10000,1,1,majority,0.05,4,12
62,0.168,10000,1,1,majority,0.05,4,22
63,0.149,10000,1,1,majority,0.05,5,2
64,0.169,10000,1,1,majority,0.05,5,12
65,0.188,10000,1,1,majority,0.05,5,22
66,0.121,10000,1,1,majority,0.05,6,2
67,0.204,10000,1,1,majority,0.05,6,12
68,0.203,10000,1,1,majority,0.05,6,22
69,0.349,10000,1,1,majority,0.05,7,2
70,0.173,10000,1,1,majority,0.05,7,12
71,0.221,10000,1,1,majority,0.05,7,22
72,0.383,10000,1,1,majority,0.05,8,2
73,0.245,10000,1,1,majority,0.05,8,12
