unweighted_fairness,weighted_fairness,electorate_size,clusters,cluster_std,electoral_system,apathy_prob,candidates,issues,n_approvals_per_voter
5.281,5.275,10000,1,1,majority,0.0,2,2,2
7.873,7.858,10000,1,1,majority,0.0,2,2,3
5.544,5.533,10000,1,1,majority,0.0,2,2,5
5.856,5.856,10000,1,1,majority,0.0,2,12,2
5.479,5.479,10000,1,1,majority,0.0,2,12,3
5.829,5.829,10000,1,1,majority,0.0,2,12,5
6.076,6.075,10000,1,1,majority,0.0,2,22,2
6.558,6.554,10000,1,1,majority,0.0,2,22,3
5.612,5.611,10000,1,1,majority,0.0,2,22,5
1.12,1.134,10000,1,1,majority,0.0,3,2,2
4.452,4.421,10000,1,1,majority,0.0,3,2,3
3.854,3.842,10000,1,1,majority,0.0,3,2,5
6.058,6.055,10000,1,1,majority,0.0,3,12,2
4.957,4.954,10000,1,1,majority,0.0,3,12,3
5.06,5.065,10000,1,1,majority,0.0,3,12,5
5.31,5.316,10000,1,1,majority,0.0,3,22,2
5.845,5.847,10000,1,1,majority,0.0,3,22,3
5.089,5.086,10000,1,1,majority,0.0,3,22,5
4.497,4.483,10000,1,1,majority,0.0,4,2,2
4.756,4.809,10000,1,1,majority,0.0,4,2,3
3.636,3.661,10000,1,1,majority,0.0,4,2,5
5.365,5.359,10000,1,1,majority,0.0,4,12,2
6.542,6.543,10000,1,1,majority,0.0,4,12,3
5.709,5.708,10000,1,1,majority,0.0,4,12,5
5.517,5.514,10000,1,1,majority,0.0,4,22,2
6.361,6.363,10000,1,1,majority,0.0,4,22,3
5.692,5.685,10000,1,1,majority,0.0,4,22,5
1.609,1.644,10000,1,1,majority,0.0,5,2,2
6.79,6.791,10000,1,1,majority,0.0,5,2,3
5.909,6.123,10000,1,1,majority,0.0,5,2,5
4.929,4.938,10000,1,1,majority,0.0,5,12,2
4.62,4.625,10000,1,1,majority,0.0,5,12,3
6.593,6.581,10000,1,1,majority,0.0,5,12,5
5.298,5.292,10000,1,1,majority,0.0,5,22,2
6.019,6.025,10000,1,1,majority,0.0,5,22,3
5.469,5.466,10000,1,1,majority,0.0,5,22,5
5.074,5.04,10000,1,1,majority,0.0,6,2,2
3.76,3.77,10000,1,1,majority,0.0,6,2,3
5.199,6.016,10000,1,1,majority,0.0,6,2,5
6.489,6.486,10000,1,1,majority,0.0,6,12,2
6.708,6.692,10000,1,1,majority,0.0,6,12,3
5.076,5.071,10000,1,1,majority,0.0,6,12,5
5.319,5.325,10000,1,1,majority,0.0,6,22,2
5.825,5.827,10000,1,1,majority,0.0,6,22,3
5.737,5.736,10000,1,1,majority,0.0,6,22,5
4.615,4.719,10000,1,1,majority,0.0,7,2,2
3.589,4.177,10000,1,1,majority,0.0,7,2,3
7.876,6.516,10000,1,1,majority,0.0,7,2,5
5.423,5.428,10000,1,1,majority,0.0,7,12,2
6.177,6.163,10000,1,1,majority,0.0,7,12,3
4.862,4.853,10000,1,1,majority,0.0,7,12,5
6.168,6.162,10000,1,1,majority,0.0,7,22,2
5.874,5.883,10000,1,1,majority,0.0,7,22,3
5.815,5.818,10000,1,1,majority,0.0,7,22,5
5.916,4.962,10000,1,1,majority,0.0,8,2,2
6.287,5.29,10000,1,1,majority,0.0,8,2,3
5.008,5.042,10000,1,1,majority,0.0,8,2,5
4.701,4.696,10000,1,1,majority,0.0,8,12,2
4.755,4.754,10000,1,1,majority,0.0,8,12,3
4.529,4.521,10000,1,1,majority,0.0,8,12,5
5.331,5.321,10000,1,1,majority,0.0,8,22,2
5.609,5.619,10000,1,1,majority,0.0,8,22,3
5.446,5.449,10000,1,1,majority,0.0,8,22,5
4.984,5.894,10000,1,1,majority,0.0,9,2,2
2.531,2.608,10000,1,1,majority,0.0,9,2,3
3.051,3.027,10000,1,1,majority,0.0,9,2,5
5.423,5.424,10000,1,1,majority,0.0,9,12,2
5.951,5.956,10000,1,1,majority,0.0,9,12,3
5.196,5.189,10000,1,1,majority,0.0,9,12,5
5.845,5.854,10000,1,1,majority,0.0,9,22,2
5.238,5.229,10000,1,1,majority,0.0,9,22,3
6.392,6.383,10000,1,1,majority,0.0,9,22,5
6.301,6.19,10000,1,1,majority,0.0,10,2,2
4.912,5.524,10000,1,1,majority,0.0,10,2,3
4.898,4.314,10000,1,1,majority,0.0,10,2,5
