electorate_size,clusters,cluster_std,electoral_system,apathy_prob,candidates,issues,n_approvals_per_voter
10000,1,1,majority,0.0,2,2,2
10000,1,1,majority,0.0,2,2,3
10000,1,1,majority,0.0,2,2,5
10000,1,1,majority,0.0,2,12,2
10000,1,1,majority,0.0,2,12,3
10000,1,1,majority,0.0,2,12,5
10000,1,1,majority,0.0,2,22,2
10000,1,1,majority,0.0,2,22,3
10000,1,1,majority,0.0,2,22,5
10000,1,1,majority,0.0,3,2,2
10000,1,1,majority,0.0,3,2,3
10000,1,1,majority,0.0,3,2,5
10000,1,1,majority,0.0,3,12,2
10000,1,1,majority,0.0,3,12,3
10000,1,1,majority,0.0,3,12,5
10000,1,1,majority,0.0,3,22,2
10000,1,1,majority,0.0,3,22,3
10000,1,1,majority,0.0,3,22,5
10000,1,1,majority,0.0,4,2,2
10000,1,1,majority,0.0,4,2,3
10000,1,1,majority,0.0,4,2,5
10000,1,1,majority,0.0,4,12,2
10000,1,1,majority,0.0,4,12,3
10000,1,1,majority,0.0,4,12,5
10000,1,1,majority,0.0,4,22,2
10000,1,1,majority,0.0,4,22,3
10000,1,1,majority,0.0,4,22,5
10000,1,1,majority,0.0,5,2,2
10000,1,1,majority,0.0,5,2,3
10000,1,1,majority,0.0,5,2,5
10000,1,1,majority,0.0,5,12,2
10000,1,1,majority,0.0,5,12,3
10000,1,1,majority,0.0,5,12,5
10000,1,1,majority,0.0,5,22,2
10000,1,1,majority,0.0,5,22,3
10000,1,1,majority,0.0,5,22,5
10000,1,1,majority,0.0,6,2,2
10000,1,1,majority,0.0,6,2,3
10000,1,1,majority,0.0,6,2,5
10000,1,1,majority,0.0,6,12,2
10000,1,1,majority,0.0,6,12,3
10000,1,1,majority,0.0,6,12,5
10000,1,1,majority,0.0,6,22,2
10000,1,1,majority,0.0,6,22,3
10000,1,1,majority,0.0,6,22,5
10000,1,1,majority,0.0,7,2,2
10000,1,1,majority,0.0,7,2,3
10000,1,1,majority,0.0,7,2,5
10000,1,1,majority,0.0,7,12,2
10000,1,1,majority,0.0,7,12,3
10000,1,1,majority,0.0,7,12,5
10000,1,1,majority,0.0,7,22,2
10000,1,1,majority,0.0,7,22,3
10000,1,1,majority,0.0,7,22,5
10000,1,1,majority,0.0,8,2,2
10000,1,1,majority,0.0,8,2,3
10000,1,1,majority,0.0,8,2,5
10000,1,1,majority,0.0,8,12,2
10000,1,1,majority,0.0,8,12,3
10000,1,1,majority,0.0,8,12,5
10000,1,1,majority,0.0,8,22,2
10000,1,1,majority,0.0,8,22,3
10000,1,1,majority,0.0,8,22,5
10000,1,1,majority,0.0,9,2,2
10000,1,1,majority,0.0,9,2,3
10000,1,1,majority,0.0,9,2,5
10000,1,1,majority,0.0,9,12,2
10000,1,1,majority,0.0,9,12,3
10000,1,1,majority,0.0,9,12,5
10000,1,1,majority,0.0,9,22,2
10000,1,1,majority,0.0,9,22,3
10000,1,1,majority,0.0,9,22,5
10000,1,1,majority,0.0,10,2,2
10000,1,1,majority,0.0,10,2,3
10000,1,1,majority,0.0,10,2,5
10000,1,1,majority,0.0,10,12,2
10000,1,1,majority,0.0,10,12,3
10000,1,1,majority,0.0,10,12,5
10000,1,1,majority,0.0,10,22,2
10000,1,1,majority,0.0,10,22,3
10000,1,1,majority,0.0,10,22,5
10000,1,1,majority,0.01,2,2,2
10000,1,1,majority,0.01,2,2,3
10000,1,1,majority,0.01,2,2,5
10000,1,1,majority,0.01,2,12,2
10000,1,1,majority,0.01,2,12,3
10000,1,1,majority,0.01,2,12,5
10000,1,1,majority,0.01,2,22,2
10000,1,1,majority,0.01,2,22,3
10000,1,1,majority,0.01,2,22,5
10000,1,1,majority,0.01,3,2,2
10000,1,1,majority,0.01,3,2,3
10000,1,1,majority,0.01,3,2,5
10000,1,1,majority,0.01,3,12,2
10000,1,1,majority,0.01,3,12,3
10000,1,1,majority,0.01,3,12,5
10000,1,1,majority,0.01,3,22,2
10000,1,1,majority,0.01,3,22,3
10000,1,1,majority,0.01,3,22,5
10000,1,1,majority,0.01,4,2,2
10000,1,1,majority,0.01,4,2,3
10000,1,1,majority,0.01,4,2,5
10000,1,1,majority,0.01,4,12,2
10000,1,1,majority,0.01,4,12,3
10000,1,1,majority,0.01,4,12,5
10000,1,1,majority,0.01,4,22,2
10000,1,1,majority,0.01,4,22,3
10000,1,1,majority,0.01,4,22,5
10000,1,1,majority,0.01,5,2,2
10000,1,1,majority,0.01,5,2,3
10000,1,1,majority,0.01,5,2,5
10000,1,1,majority,0.01,5,12,2
10000,1,1,majority,0.01,5,12,3
10000,1,1,majority,0.01,5,12,5
10000,1,1,majority,0.01,5,22,2
10000,1,1,majority,0.01,5,22,3
10000,1,1,majority,0.01,5,22,5
10000,1,1,majority,0.01,6,2,2
10000,1,1,majority,0.01,6,2,3
10000,1,1,majority,0.01,6,2,5
10000,1,1,majority,0.01,6,12,2
10000,1,1,majority,0.01,6,12,3
10000,1,1,majority,0.01,6,12,5
10000,1,1,majority,0.01,6,22,2
10000,1,1,majority,0.01,6,22,3
10000,1,1,majority,0.01,6,22,5
10000,1,1,majority,0.01,7,2,2
10000,1,1,majority,0.01,7,2,3
10000,1,1,majority,0.01,7,2,5
10000,1,1,majority,0.01,7,12,2
10000,1,1,majority,0.01,7,12,3
10000,1,1,majority,0.01,7,12,5
10000,1,1,majority,0.01,7,22,2
10000,1,1,majority,0.01,7,22,3
10000,1,1,majority,0.01,7,22,5
10000,1,1,majority,0.01,8,2,2
10000,1,1,majority,0.01,8,2,3
10000,1,1,majority,0.01,8,2,5
10000,1,1,majority,0.01,8,12,2
10000,1,1,majority,0.01,8,12,3
10000,1,1,majority,0.01,8,12,5
10000,1,1,majority,0.01,8,22,2
10000,1,1,majority,0.01,8,22,3
10000,1,1,majority,0.01,8,22,5
10000,1,1,majority,0.01,9,2,2
10000,1,1,majority,0.01,9,2,3
10000,1,1,majority,0.01,9,2,5
10000,1,1,majority,0.01,9,12,2
10000,1,1,majority,0.01,9,12,3
10000,1,1,majority,0.01,9,12,5
10000,1,1,majority,0.01,9,22,2
10000,1,1,majority,0.01,9,22,3
10000,1,1,majority,0.01,9,22,5
10000,1,1,majority,0.01,10,2,2
10000,1,1,majority,0.01,10,2,3
10000,1,1,majority,0.01,10,2,5
10000,1,1,majority,0.01,10,12,2
10000,1,1,majority,0.01,10,12,3
10000,1,1,majority,0.01,10,12,5
10000,1,1,majority,0.01,10,22,2
10000,1,1,majority,0.01,10,22,3
10000,1,1,majority,0.01,10,22,5
10000,1,1,majority,0.05,2,2,2
10000,1,1,majority,0.05,2,2,3
